Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Laurence, T.A., Bude, J.D., Ly, S., Shen, N., Feit, M.D.","6602368290; 56691569500; 26652973000; 7102785717; 7006396018","Extracting the distribution of laser damage precursors on fused silica surfaces for 351 nm, 3 ns laser pulses at high fluences (20-150 J/cm <sup>2</sup>)",2012,"Optics Express",20,"10",,11561,11573,,73,10.1364/OE.20.011561,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861137226&partnerID=40&md5=49eb831c76f53b399a5338f6787fc72c",Article,Final,Open Access,Scopus,2-s2.0-84861137226
"Zhou, W., Wang, G., Sun, Z., Cao, W., Xu, Z., Hu, S., Zhao, J.","56010564500; 56128300100; 36092182300; 8333602700; 36134101300; 54410636500; 38562401000","Variations in the optical scattering properties of phytoplankton cultures",2012,"Optics Express",20,"10",,11189,11206,,36,10.1364/OE.20.011189,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861137217&partnerID=40&md5=544d4eeb2e342889266c21715e7f3973",Article,Final,Open Access,Scopus,2-s2.0-84861137217
"Sandall, I., Ng, J.S., David, J.P.R., Tan, C.H., Wang, T., Liu, H.","8948384800; 55542787300; 25647614700; 57189468185; 55372310000; 15765485000","1300 nm wavelength InAs quantum dot photodetector grown on silicon",2012,"Optics Express",20,"10",,10446,10452,,23,10.1364/OE.20.010446,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861135666&partnerID=40&md5=bb2a8374ecb512be98636919dd7c4d82",Article,Final,Open Access,Scopus,2-s2.0-84861135666
"Yang, C., Kaspi, R., Tilton, M.L., Chavez, J.R., Ongstad, A.P., Dente, G.C.","55706732500; 57192643990; 7004322859; 7101914914; 6601997885; 7004290862","Spectrally narrow mid-infrared optically pumped lasers with partial surface DBR",2012,"Optics Express",20,"10",,10833,10838,,1,10.1364/OE.20.010833,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861134323&partnerID=40&md5=c66f4842459985287b9b94b482230873",Article,Final,Open Access,Scopus,2-s2.0-84861134323
"Oates, T.W.H., Dastmalchi, B., Isic, G., Tollabimazraehno, S., Helgert, C., Pertsch, T., Kley, E.-B., Verschuuren, M.A., Bergmair, I., Hingerl, K., Hinrichs, K.","57210689139; 23667075400; 23134942000; 55220113900; 24366676600; 7004076111; 7004550032; 8309651600; 19638597700; 7003295212; 56219344200","Oblique incidence ellipsometric characterization and the substrate dependence of visible frequency fishnet metamaterials",2012,"Optics Express",20,"10",,11166,11177,,15,10.1364/OE.20.011166,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861134244&partnerID=40&md5=b73ce408561ef0b4c9345a2dee0c5c46",Article,Final,Open Access,Scopus,2-s2.0-84861134244
"Sola, D., Balda, R., Peña, J.I., Fernández, J.","24336097800; 24282603100; 7402535386; 7404574969","Site-selective laser spectroscopy of Nd<sup>3+</sup> ions in 0.8CaSiO <inf>3</inf>-0.2Ca<inf>3</inf>(PO<inf>4</inf>)<inf>2</inf> biocompatible eutectic glass-ceramics",2012,"Optics Express",20,"10",,10701,10711,,13,10.1364/OE.20.010701,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861134196&partnerID=40&md5=15791703b1d436a16c02106d9f16b0dd",Article,Final,Open Access,Scopus,2-s2.0-84861134196
"Aguergaray, C., Broderick, N.G.R., Erkintalo, M., Chen, J.S.Y., Kruglov, V.","8943945000; 7006194615; 26428731500; 13907027500; 7005222462","Mode-locked femtosecond all-normal all-PM Yb-doped fiber laser using a nonlinear amplifying loop mirror",2012,"Optics Express",20,"10",,10545,10551,,139,10.1364/OE.20.010545,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861134195&partnerID=40&md5=2eb1f0273b7a9c47c48745b4a5f52966",Article,Final,Open Access,Scopus,2-s2.0-84861134195
"Tian, Z., Yang, W., Sui, Y., Kang, Y., Liu, W., Yang, H.","36093682500; 26432435200; 7102293702; 16304273900; 23980528500; 35276750400","A high-accuracy and convenient figure measurement system for large convex lens",2012,"Optics Express",20,"10",,10761,10775,,4,10.1364/OE.20.010761,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861133864&partnerID=40&md5=b218c4c29d22b97f0ee99e1640704815",Article,Final,Open Access,Scopus,2-s2.0-84861133864
"Litvin, I.A., Dudley, A., Roux, F.S., Forbes, A.","10144918000; 35145724500; 7102071729; 35607329000","Azimuthal decomposition with digital holograms",2012,"Optics Express",20,"10",,10996,11004,,72,10.1364/OE.20.010996,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861133849&partnerID=40&md5=246e6bd03cf97d3ec56a2f7338075d2b",Article,Final,Open Access,Scopus,2-s2.0-84861133849
"Angelsky, O.V., Bekshaev, A.Ya., Maksimyak, P.P., Maksimyak, A.P., Mokhun, I.I., Hanson, S.G., Zenkova, C.Yu., Tyurin, A.V.","7005472269; 7004177296; 7003787152; 24281429000; 6701392015; 7202890715; 6507576429; 36730093700","Circular motion of particles suspended in a Gaussian beam with circular polarization validates the spin part of the internal energy flow",2012,"Optics Express",20,"10",,11351,11356,,84,10.1364/OE.20.011351,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861132450&partnerID=40&md5=db52c509b1c019b1b542b3533c3444b3",Article,Final,Open Access,Scopus,2-s2.0-84861132450
